submodel,likelihood,aicc,ridge_penalty,target_effect,target_se,tau,small_study_slope,n_effective,uncertainty_method,stack_weight
selection_soft,exact_binary,42.21747086306061,0.5,0.3012292548647594,0.42137755196305726,0.5453240406511074,0.0,11.69128573987858,profile_curvature,0.517013457485036
baseline,exact_binary,42.47523247658511,0.5,0.3325391315333077,0.42894263803748917,0.5793799976469948,0.0,11.691285739878582,profile_curvature,0.4544955385324482
selection_soft_small,exact_binary,48.01443189588245,0.5,0.13823085210793348,0.45519480438224524,0.44396899758601704,-0.38115272924630206,11.691285739878582,profile_curvature,0.02849100398251568
